"COUNT(FINDINGID)","NUMERICFINDING"
13215,100.58
1,100.57
4,100.56
1,100.55
1,100.54
2,100.52
182,100.51
75555,100.5
2,100.47
2,100.45
2,100.44
1,100.43
1,100.42
3,100.41
115363,100.4
2,100.35
4,100.34
2,100.33
1,100.32
1,100.31
92217,100.3
259,100.29
1,100.25
2,100.24
3,100.23
18828,100.22
3,100.21
118488,100.2
1,100.15
1,100.14
2,100.12
5,100.11
110352,100.1
375,100.09
7,100.08
6,100.07
7,100.06
7,100.05
20625,100.04
11,100.03
21,100.02
26,100.01
194846,100
15,99.99
3,99.98
15,99.96
2,99.93
2,99.91
165592,99.9
6,99.89
6,99.88
5,99.87
23537,99.86
6,99.85
5,99.83
708,99.81
203564,99.8
1,99.79
10,99.78
8,99.77
3,99.76
9,99.74
11,99.73
2,99.72
1,99.71
192944,99.7
5,99.69
22868,99.68
1,99.67
9,99.66
1,99.65
1,99.64
7,99.63
1028,99.61
221230,99.6
3,99.58
2,99.57
6,99.56
5,99.55
3,99.54
4,99.53
7,99.52
1,99.51
291981,99.5
1,99.48
3,99.47
1,99.46
8,99.45
18,99.44
13,99.43
1,99.42
18,99.41
326023,99.4
1579,99.39
4,99.38
2,99.37
5,99.36
5,99.35
5,99.34
21,99.33
27560,99.32
5,99.31
367024,99.3
5,99.25
1,99.24
18,99.23
18,99.22
12,99.21
444697,99.2
2486,99.19
1,99.18
1,99.16
2,99.15
31845,99.14
14,99.13
22,99.12
16,99.11
519466,99.1
14,99.09
5,99.08
5,99.07
3,99.06
9,99.05
16,99.04
17,99.03
19,99.02
26,99.01
1014649,99
17,98.99
31,98.98
2,98.97
31911,98.96
3,98.95
8,98.93
4,98.92
6095,98.91
828516,98.9
36,98.89
21,98.88
42,98.87
5,98.86
45,98.85
2,98.84
18,98.83
6,98.82
8,98.81
1143904,98.8
9,98.79
35481,98.78
26,98.77
32,98.76
3,98.75
85,98.74
63,98.73
7,98.72
10732,98.71
1309690,98.7
52,98.69
5,98.68
36,98.67
19,98.66
26,98.65
10,98.64
109,98.63
8,98.62
9,98.61
1795148,98.6
3,98.59
27,98.58
4,98.57
59,98.56
20,98.55
27,98.54
25,98.53
72,98.52
9,98.51
1531317,98.5
14510,98.49
2,98.48
41,98.47
5,98.46
55,98.45
35,98.44
87,98.43
38774,98.42
109,98.41
2110284,98.4
17,98.39
14,98.38
20,98.37
68,98.36
18,98.35
38,98.34
74,98.33
52,98.32
33,98.31
1960370,98.3
19873,98.29
4,98.28
4,98.27
9,98.26
42,98.25
37013,98.24
126,98.23
61,98.22
71,98.21
2638369,98.2
12,98.19
9,98.18
6,98.17
2,98.16
2,98.15
40,98.14
53,98.13
124,98.12
56,98.11
2357079,98.1
33,98.09
27,98.08
20,98.07
39232,98.06
31,98.05
28,98.04
50,98.03
85,98.02
28625,98.01
3554400,98
44,97.99
30,97.98
11,97.97
61,97.96
2,97.95
13,97.93
8,97.92
8,97.91
1986795,97.9
68,97.89
34317,97.88
58,97.87
3,97.86
52,97.85
3,97.84
34,97.83
6,97.82
13261,97.81
1855458,97.8
11,97.79
101,97.78
28,97.77
28,97.76
3,97.75
45,97.74
52,97.73
3,97.72
5,97.71
1425997,97.7
39,97.69
4,97.68
20,97.67
29,97.66
21,97.65
40,97.63
3,97.62
13,97.61
1277773,97.6
8185,97.59
19,97.58
37,97.56
19,97.55
31,97.54
24,97.53
23922,97.52
6,97.51
1065639,97.5
3,97.49
1,97.48
23,97.47
1,97.46
29,97.45
21,97.44
50,97.43
1,97.42
22,97.41
936071,97.4
4624,97.39
19,97.38
7,97.37
31,97.36
7,97.35
17903,97.34
27,97.33
21,97.32
5,97.31
705709,97.3
2,97.29
1,97.28
1,97.27
1,97.26
6,97.25
1,97.24
39,97.23
18,97.22
19,97.21
561374,97.2
1,97.19
4,97.18
1,97.17
17611,97.16
1,97.15
10,97.14
6,97.13
20,97.12
1880,97.11
315732,97.1
29,97.09
23,97.08
29,97.07
19,97.06
21,97.05
20,97.04
19,97.03
24,97.02
32,97.01
501615,97
9176,96.98
1,96.97
3,96.96
1,96.92
384,96.91
60616,96.9
1,96.89
2,96.88
2,96.87
2,96.85
6,96.83
1,96.82
90170,96.8
2,96.77
3,96.76
4,96.73
1,96.71
51177,96.7
321,96.69
1,96.66
1,96.65
1,96.63
5140,96.62
44106,96.6
3,96.55
2,96.54
1,96.53
31246,96.5
172,96.49
1,96.48
2,96.47
3821,96.44
2,96.43
30487,96.4
1,96.39
1,96.37
1,96.36
1,96.34
1,96.33
20188,96.3
1,96.28
1,96.27
3179,96.26
35,96.21
19575,96.2
1,96.12
2,96.11
16122,96.1
12,96.09
3009,96.08
20,96.07
19,96.06
10,96.05
5,96.04
13,96.03
17,96.02
77,96.01
38895,96
1,95.98
1,95.92
7256,95.9
1,95.88
1,95.85
4238,95.8
9,95.79
1992,95.72
4021,95.7
1,95.65
1,95.64
1,95.62
4939,95.6
3,95.59
2,95.55
1730,95.54
1,95.52
4031,95.5
1,95.43
3371,95.4
1427,95.36
1,95.35
1,95.32
2,95.31
2025,95.3
2412,95.2
1367,95.18
7,95.11
1828,95.1
3,95.06
1,95.04
9479,95
1,94.96
1035,94.9
3,94.89
938,94.82
1686,94.8
2101,94.7
3,94.69
780,94.64
4027,94.6
1,94.56
1,94.55
1,94.52
4353,94.5
729,94.46
1,94.43
8,94.41
3170,94.4
1,94.35
2,94.32
2479,94.3
645,94.28
1,94.24
1,94.23
1,94.21
1693,94.2
1,94.19
2147,94.1
1,94.06
3755,94
5,93.99
537,93.92
737,93.9
689,93.8
2,93.79
405,93.74
760,93.7
1,93.62
700,93.6
455,93.56
1,93.51
688,93.5
860,93.4
1,93.39
393,93.38
1,93.37
1,93.35
2,93.31
760,93.3
1,93.25
1609,93.2
437,93.1
253,93.02
1579,93
1,92.99
249,92.9
200,92.84
481,92.8
1,92.72
480,92.7
219,92.66
327,92.6
686,92.5
1,92.49
193,92.48
350,92.4
918,92.3
396,92.2
1,92.19
1,92.14
233,92.12
677,92.1
888,92
2,91.99
309,91.94
428,91.9
424,91.8
832,91.76
218,91.7
422,91.6
1574,91.58
1,91.53
1,91.52
1,91.51
216,91.5
2,91.48
2277,91.4
149,91.3
289,91.22
326,91.2
182,91.1
180,91.04
1,91.01
622,91
173,90.9
114,90.86
101,90.8
176,90.7
92,90.68
86,90.6
237,90.5
1,90.41
111,90.4
62,90.32
167,90.3
120,90.2
57,90.14
177,90.1
775,90
72,89.96
1,89.91
235,89.9
110,89.8
46,89.78
137,89.7
378,89.6
1,89.56
105,89.5
3,89.42
163,89.4
106,89.3
223,89.2
127,89.1
8,89.01
418,89
82,88.9
62,88.8
105,88.7
89,88.6
1,88.52
106,88.5
129,88.4
1,88.39
109,88.3
167,88.2
3,88.16
88,88.1
290,88
